Image_ID,Model,Attack,Defense,Was_Successful_Attack,Defended_Pred_Idx,Cured
n01558993,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,15,True
n01704323,MobileNetV2,FGSM,JPEG (q=75),True,371,False
n01704323,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,77,False
n01704323,MobileNetV2,PGD,JPEG (q=75),True,218,False
n01704323,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,62,False
n01704323,MobileNetV2,C&W,JPEG (q=75),True,51,True
n01704323,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,76,False
n01704323,MobileNetV2,DeepFool,JPEG (q=75),True,51,True
n01704323,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,730,False
n01704323,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,62,False
n01704323,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,77,False
n01704323,MobileNetV2,SquareAttack,JPEG (q=75),True,371,False
n01704323,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,51,True
n01704323,MobileNetV2,NES,JPEG (q=75),True,51,True
n01704323,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,51,True
n01704323,MobileNetV2,BoundaryAttack,JPEG (q=75),True,885,False
n01704323,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,77,False
n01749939,MobileNetV2,FGSM,JPEG (q=75),True,699,False
n01749939,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,816,False
n01749939,MobileNetV2,PGD,JPEG (q=75),True,766,False
n01749939,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,766,False
n01749939,MobileNetV2,C&W,JPEG (q=75),True,998,False
n01749939,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,784,False
n01749939,MobileNetV2,DeepFool,JPEG (q=75),True,766,False
n01749939,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,107,False
n01749939,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,998,False
n01749939,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,107,False
n01749939,MobileNetV2,SquareAttack,JPEG (q=75),True,766,False
n01749939,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,515,False
n01749939,MobileNetV2,NES,JPEG (q=75),True,766,False
n01749939,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,4,False
n01749939,MobileNetV2,BoundaryAttack,JPEG (q=75),True,111,False
n01749939,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,103,False
n01770081,MobileNetV2,FGSM,JPEG (q=75),True,556,False
n01770081,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,816,False
n01770081,MobileNetV2,PGD,JPEG (q=75),True,816,False
n01770081,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,849,False
n01770081,MobileNetV2,C&W,JPEG (q=75),True,73,True
n01770081,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,70,False
n01770081,MobileNetV2,DeepFool,JPEG (q=75),True,73,True
n01770081,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,301,False
n01770081,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,301,False
n01770081,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,301,False
n01770081,MobileNetV2,SquareAttack,JPEG (q=75),True,73,True
n01770081,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,989,False
n01770081,MobileNetV2,NES,JPEG (q=75),True,73,True
n01770081,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,74,False
n01770081,MobileNetV2,BoundaryAttack,JPEG (q=75),True,956,False
n01770081,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,77,False
n01843383,MobileNetV2,FGSM,JPEG (q=75),True,93,False
n01843383,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,93,False
n01843383,MobileNetV2,PGD,JPEG (q=75),True,376,False
n01843383,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,93,False
n01843383,MobileNetV2,C&W,JPEG (q=75),False,96,True
n01843383,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),False,96,True
n01843383,MobileNetV2,DeepFool,JPEG (q=75),True,96,True
n01843383,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,1,False
n01843383,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,96,True
n01843383,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,1,False
n01843383,MobileNetV2,SquareAttack,JPEG (q=75),True,96,True
n01843383,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,387,False
n01843383,MobileNetV2,NES,JPEG (q=75),False,96,True
n01843383,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),False,93,False
n01843383,MobileNetV2,BoundaryAttack,JPEG (q=75),True,96,True
n01843383,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,1,False
n01855672,MobileNetV2,FGSM,JPEG (q=75),True,331,False
n01855672,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,138,False
n01855672,MobileNetV2,PGD,JPEG (q=75),True,331,False
n01855672,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,331,False
n01855672,MobileNetV2,C&W,JPEG (q=75),True,345,False
n01855672,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,99,False
n01855672,MobileNetV2,DeepFool,JPEG (q=75),True,345,False
n01855672,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,29,False
n01855672,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,78,False
n01855672,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,29,False
n01855672,MobileNetV2,SquareAttack,JPEG (q=75),True,331,False
n01855672,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,212,False
n01855672,MobileNetV2,NES,JPEG (q=75),True,355,False
n01855672,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,29,False
n01855672,MobileNetV2,BoundaryAttack,JPEG (q=75),True,286,False
n01855672,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,285,False
n01910747,MobileNetV2,FGSM,JPEG (q=75),True,377,False
n01910747,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,112,False
n01910747,MobileNetV2,PGD,JPEG (q=75),True,164,False
n01910747,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,112,False
n01910747,MobileNetV2,C&W,JPEG (q=75),True,584,False
n01910747,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,112,False
n01910747,MobileNetV2,DeepFool,JPEG (q=75),False,451,True
n01910747,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),False,112,False
n01910747,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,126,False
n01910747,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,126,False
n01910747,MobileNetV2,SquareAttack,JPEG (q=75),True,584,False
n01910747,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,126,False
n01910747,MobileNetV2,NES,JPEG (q=75),True,126,False
n01910747,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,126,False
n01910747,MobileNetV2,BoundaryAttack,JPEG (q=75),True,276,False
n01910747,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,276,False
n01930112,MobileNetV2,FGSM,JPEG (q=75),False,688,False
n01930112,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),False,111,True
n01930112,MobileNetV2,PGD,JPEG (q=75),True,677,False
n01930112,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,111,True
n01930112,MobileNetV2,C&W,JPEG (q=75),False,111,True
n01930112,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),False,111,True
n01930112,MobileNetV2,DeepFool,JPEG (q=75),True,111,True
n01930112,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,111,True
n01930112,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,111,True
n01930112,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,111,True
n01930112,MobileNetV2,SquareAttack,JPEG (q=75),True,854,False
n01930112,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,111,True
n01930112,MobileNetV2,NES,JPEG (q=75),False,111,True
n01930112,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),False,111,True
n01930112,MobileNetV2,BoundaryAttack,JPEG (q=75),True,911,False
n01930112,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,111,True
n01981276,MobileNetV2,FGSM,JPEG (q=75),True,766,False
n01981276,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,124,False
n01981276,MobileNetV2,PGD,JPEG (q=75),True,748,False
n01981276,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,310,False
n01981276,MobileNetV2,C&W,JPEG (q=75),True,78,False
n01981276,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,310,False
n01981276,MobileNetV2,DeepFool,JPEG (q=75),True,126,True
n01981276,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,310,False
n01981276,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,301,False
n01981276,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,310,False
n01981276,MobileNetV2,SquareAttack,JPEG (q=75),True,766,False
n01981276,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,815,False
n01981276,MobileNetV2,NES,JPEG (q=75),True,78,False
n01981276,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,310,False
n01981276,MobileNetV2,BoundaryAttack,JPEG (q=75),True,911,False
n01981276,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,78,False
n02074367,MobileNetV2,FGSM,JPEG (q=75),True,220,False
n02074367,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,109,False
n02074367,MobileNetV2,PGD,JPEG (q=75),True,294,False
n02074367,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,296,False
n02074367,MobileNetV2,C&W,JPEG (q=75),True,296,False
n02074367,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,149,True
n02074367,MobileNetV2,DeepFool,JPEG (q=75),True,149,True
n02074367,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,296,False
n02074367,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,149,True
n02074367,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,149,True
n02074367,MobileNetV2,SquareAttack,JPEG (q=75),True,149,True
n02074367,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,149,True
n02074367,MobileNetV2,NES,JPEG (q=75),False,149,True
n02074367,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),False,296,False
n02074367,MobileNetV2,BoundaryAttack,JPEG (q=75),True,5,False
n02074367,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,109,False
n02089867,MobileNetV2,FGSM,JPEG (q=75),True,384,False
n02089867,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,33,False
n02089867,MobileNetV2,PGD,JPEG (q=75),True,630,False
n02089867,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,794,False
n02089867,MobileNetV2,C&W,JPEG (q=75),True,388,False
n02089867,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,172,False
n02089867,MobileNetV2,DeepFool,JPEG (q=75),True,166,False
n02089867,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,362,False
n02089867,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,167,True
n02089867,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,166,False
n02089867,MobileNetV2,SquareAttack,JPEG (q=75),True,906,False
n02089867,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,355,False
n02089867,MobileNetV2,NES,JPEG (q=75),True,166,False
n02089867,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,166,False
n02089867,MobileNetV2,BoundaryAttack,JPEG (q=75),True,162,False
n02089867,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,362,False
n02091244,MobileNetV2,FGSM,JPEG (q=75),True,166,False
n02091244,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,164,False
n02091244,MobileNetV2,PGD,JPEG (q=75),True,729,False
n02091244,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,537,False
n02091244,MobileNetV2,C&W,JPEG (q=75),True,977,True
n02091244,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,433,False
n02091244,MobileNetV2,DeepFool,JPEG (q=75),True,147,False
n02091244,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,537,False
n02091244,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,164,False
n02091244,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,166,False
n02091244,MobileNetV2,SquareAttack,JPEG (q=75),True,556,False
n02091244,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,707,False
n02091244,MobileNetV2,NES,JPEG (q=75),True,147,False
n02091244,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,537,False
n02091244,MobileNetV2,BoundaryAttack,JPEG (q=75),True,188,False
n02091244,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,342,False
n02091831,MobileNetV2,FGSM,JPEG (q=75),True,181,False
n02091831,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,76,False
n02091831,MobileNetV2,PGD,JPEG (q=75),True,177,False
n02091831,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,275,False
n02091831,MobileNetV2,C&W,JPEG (q=75),True,215,False
n02091831,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,212,False
n02091831,MobileNetV2,DeepFool,JPEG (q=75),True,212,False
n02091831,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,212,False
n02091831,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,215,False
n02091831,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,212,False
n02091831,MobileNetV2,SquareAttack,JPEG (q=75),True,73,False
n02091831,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,73,False
n02091831,MobileNetV2,NES,JPEG (q=75),True,212,False
n02091831,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,212,False
n02091831,MobileNetV2,BoundaryAttack,JPEG (q=75),True,188,False
n02091831,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,361,False
n02099601,MobileNetV2,FGSM,JPEG (q=75),True,339,False
n02099601,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,354,False
n02099601,MobileNetV2,PGD,JPEG (q=75),True,166,False
n02099601,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,166,False
n02099601,MobileNetV2,C&W,JPEG (q=75),True,207,True
n02099601,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,219,False
n02099601,MobileNetV2,DeepFool,JPEG (q=75),True,207,True
n02099601,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,219,False
n02099601,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,168,False
n02099601,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,176,False
n02099601,MobileNetV2,SquareAttack,JPEG (q=75),True,271,False
n02099601,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,160,False
n02099601,MobileNetV2,NES,JPEG (q=75),True,207,True
n02099601,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,212,False
n02099601,MobileNetV2,BoundaryAttack,JPEG (q=75),True,377,False
n02099601,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,287,False
n02101006,MobileNetV2,FGSM,JPEG (q=75),True,175,False
n02101006,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,214,False
n02101006,MobileNetV2,PGD,JPEG (q=75),True,214,False
n02101006,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,214,False
n02101006,MobileNetV2,C&W,JPEG (q=75),True,214,False
n02101006,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,214,False
n02101006,MobileNetV2,DeepFool,JPEG (q=75),True,214,False
n02101006,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,816,False
n02101006,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,165,True
n02101006,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,301,False
n02101006,MobileNetV2,SquareAttack,JPEG (q=75),True,165,True
n02101006,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,214,False
n02101006,MobileNetV2,NES,JPEG (q=75),True,214,False
n02101006,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,265,False
n02101006,MobileNetV2,BoundaryAttack,JPEG (q=75),True,357,False
n02101006,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,106,False
n02105505,MobileNetV2,FGSM,JPEG (q=75),True,371,False
n02105505,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,377,False
n02105505,MobileNetV2,PGD,JPEG (q=75),True,176,False
n02105505,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,212,False
n02105505,MobileNetV2,C&W,JPEG (q=75),True,164,False
n02105505,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,212,False
n02105505,MobileNetV2,DeepFool,JPEG (q=75),True,289,False
n02105505,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,212,False
n02105505,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,175,False
n02105505,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,212,False
n02105505,MobileNetV2,SquareAttack,JPEG (q=75),True,377,False
n02105505,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,212,False
n02105505,MobileNetV2,NES,JPEG (q=75),True,335,False
n02105505,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,212,False
n02105505,MobileNetV2,BoundaryAttack,JPEG (q=75),True,291,False
n02105505,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,106,False
n02108089,MobileNetV2,FGSM,JPEG (q=75),True,219,False
n02108089,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,218,False
n02108089,MobileNetV2,PGD,JPEG (q=75),True,207,False
n02108089,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,219,False
n02108089,MobileNetV2,C&W,JPEG (q=75),True,247,False
n02108089,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,247,False
n02108089,MobileNetV2,DeepFool,JPEG (q=75),True,242,True
n02108089,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,247,False
n02108089,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,167,False
n02108089,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,218,False
n02108089,MobileNetV2,SquareAttack,JPEG (q=75),True,247,False
n02108089,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,242,True
n02108089,MobileNetV2,NES,JPEG (q=75),True,242,True
n02108089,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,247,False
n02108089,MobileNetV2,BoundaryAttack,JPEG (q=75),True,162,False
n02108089,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,242,True
n02108551,MobileNetV2,FGSM,JPEG (q=75),True,220,False
n02108551,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,219,False
n02108551,MobileNetV2,PGD,JPEG (q=75),True,220,False
n02108551,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,217,False
n02108551,MobileNetV2,C&W,JPEG (q=75),True,244,True
n02108551,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,247,False
n02108551,MobileNetV2,DeepFool,JPEG (q=75),True,244,True
n02108551,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,704,False
n02108551,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,244,True
n02108551,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,7,False
n02108551,MobileNetV2,SquareAttack,JPEG (q=75),True,244,True
n02108551,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,256,False
n02108551,MobileNetV2,NES,JPEG (q=75),True,244,True
n02108551,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,212,False
n02108551,MobileNetV2,BoundaryAttack,JPEG (q=75),True,357,False
n02108551,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,265,False
n02108915,MobileNetV2,FGSM,JPEG (q=75),True,357,False
n02108915,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,334,False
n02108915,MobileNetV2,PGD,JPEG (q=75),True,103,False
n02108915,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,224,False
n02108915,MobileNetV2,C&W,JPEG (q=75),True,223,False
n02108915,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,223,False
n02108915,MobileNetV2,DeepFool,JPEG (q=75),True,268,False
n02108915,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,696,False
n02108915,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,126,False
n02108915,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,78,False
n02108915,MobileNetV2,SquareAttack,JPEG (q=75),True,357,False
n02108915,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,859,False
n02108915,MobileNetV2,NES,JPEG (q=75),True,223,False
n02108915,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,224,False
n02108915,MobileNetV2,BoundaryAttack,JPEG (q=75),True,357,False
n02108915,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,285,False
n02110063,MobileNetV2,FGSM,JPEG (q=75),True,188,False
n02110063,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,285,False
n02110063,MobileNetV2,PGD,JPEG (q=75),True,377,False
n02110063,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,397,False
n02110063,MobileNetV2,C&W,JPEG (q=75),True,332,False
n02110063,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,361,False
n02110063,MobileNetV2,DeepFool,JPEG (q=75),True,283,False
n02110063,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,203,False
n02110063,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,194,False
n02110063,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,204,False
n02110063,MobileNetV2,SquareAttack,JPEG (q=75),True,383,False
n02110063,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,289,False
n02110063,MobileNetV2,NES,JPEG (q=75),True,280,False
n02110063,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,250,False
n02110063,MobileNetV2,BoundaryAttack,JPEG (q=75),True,286,False
n02110063,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,280,False
n02110341,MobileNetV2,FGSM,JPEG (q=75),True,208,False
n02110341,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,162,False
n02110341,MobileNetV2,PGD,JPEG (q=75),True,243,False
n02110341,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,162,False
n02110341,MobileNetV2,C&W,JPEG (q=75),True,251,False
n02110341,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,251,False
n02110341,MobileNetV2,DeepFool,JPEG (q=75),True,166,True
n02110341,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,162,False
n02110341,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,166,True
n02110341,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,162,False
n02110341,MobileNetV2,SquareAttack,JPEG (q=75),True,388,False
n02110341,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,162,False
n02110341,MobileNetV2,NES,JPEG (q=75),True,166,True
n02110341,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),True,162,False
n02110341,MobileNetV2,BoundaryAttack,JPEG (q=75),True,388,False
n02110341,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,162,False
n02111277,MobileNetV2,FGSM,JPEG (q=75),True,252,False
n02111277,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,381,False
n02111277,MobileNetV2,PGD,JPEG (q=75),True,261,False
n02111277,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,361,False
n02111277,MobileNetV2,C&W,JPEG (q=75),True,369,False
n02111277,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,369,False
n02111277,MobileNetV2,DeepFool,JPEG (q=75),True,256,False
n02111277,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,367,False
